,Date,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,1 Cases every X ppl,1 Death every X ppl,1 test every X ppl,Continent
125,22-7-2020,Zimbabwe,1820,0,26,0,488,0,1306,0,122,2.0,105121,7067,14874341,8173,572090,141,Africa
126,22-7-2020,Sierra Leone,1731,4,66,0,1288,15,377,0,217,8.0,0,0,7985064,4613,120986,0,Africa
127,22-7-2020,Rwanda,1655,0,5,0,848,0,802,0,128,0.4,221039,17046,12967468,7835,2593494,59,Africa
128,22-7-2020,Yemen,1640,11,458,2,751,10,431,0,55,15.0,120,4,29858113,18206,65192,248818,Asia
129,22-7-2020,Benin,1602,0,31,0,782,0,789,1,132,3.0,72832,6000,12138048,7577,391550,167,Africa
130,22-7-2020,Mozambique,1557,21,11,0,523,17,1023,0,50,0.4,49492,1581,31295533,20100,2845048,632,Africa
131,22-7-2020,New Zealand,1555,0,22,0,1506,0,27,0,311,4.0,446367,89236,5002100,3217,227368,11,Australia/Oceania
132,22-7-2020,Namibia,1402,36,7,0,64,7,1331,13,551,3.0,19260,7573,2543250,1814,363321,132,Africa
133,22-7-2020,Tunisia,1394,5,50,0,1108,5,236,3,118,4.0,85917,7265,11825398,8483,236508,138,Africa
134,22-7-2020,Latvia,1197,4,31,0,1045,0,121,2,635,16.0,185223,98270,1884842,1575,60801,10,Europe
135,22-7-2020,Suriname,1131,0,21,0,705,0,405,2,1927,36.0,1244,2120,586924,519,27949,472,South America
136,22-7-2020,Jordan,1120,7,11,0,1035,1,74,3,110,1.0,534319,52340,10208713,9115,928065,19,Asia
137,22-7-2020,Liberia,1114,6,70,0,592,17,452,0,220,14.0,0,0,5063407,4545,72334,0,Africa
138,22-7-2020,Niger,1113,0,69,0,1018,0,26,0,46,3.0,9052,373,24242893,21782,351346,2678,Africa
139,22-7-2020,Uruguay,1096,0,33,0,929,0,134,4,315,9.0,92056,26495,3474431,3170,105286,38,South America
140,22-7-2020,Uganda,1075,0,0,0,958,0,117,0,23,0.0,250029,5459,45804397,42609,0,183,Africa
